lkupClientId,dimCustomerMasterId,customerNumber,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,isBuyer,source_tenure,tenure,distToVenue,totalGames,recency,missed_games_1,missed_games_2,missed_games_over_2,click_link,fill_out_form,open_email,send_email,unsubscribe_email,openToSendRatio,clickToSendRatio,clickToOpenRatio,posting_records,resale_records,resale_atp,forward_records,cancel_records,email,inbound_email,inbound_phonecall,inperson_contact,internal_note,left_message,outbound_email,outbound_phonecall,phonecall,text,unknown,gender,childrenPresentInHH,maritalStatus,lengthOfResidenceInYrs,annualHHIncome,education,urbanicity,credits_after_refund,is_Lockdown,NumberofGamesPerSeason,CNTPostponedGames,isNextYear_Buyer,Label,Score_0,Score_1
5,47829,206359216,2021,Mini Plan,1142.0,1970-01-01,0.0,58,TRUE,1460,1253,0,0,0,0,1,0,0,0,14,14,0,1.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.9802,0.0198
5,47866,190013166,2021,Half Season,2468.3999999999983,2022-01-09,0.59375,272,TRUE,5110,1894,0,6,0,2,1,0,60,0,300,328,0,0.914634146341,0.182926829268,0.2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,1,1,0.3733,0.6267
5,49778,103865,2021,Full Season,41452.0,2022-01-25,0.8392857142857143,269,TRUE,9855,1888,0,24,0,2,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.3504,0.6496
5,50178,202515437,2021,Half Season,1422.0,2022-01-26,0.75,19,TRUE,2190,1077,0,3,2,0,1,0,160,16,236,452,0,0.522123893805,0.353982300884,0.677966101694,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,0,0.9685,0.0315
5,53824,190234366,2021,Full Season,2451.0,2022-01-26,0.39285714285714285,269,TRUE,2920,1856,0,11,3,1,2,3,34,0,272,492,0,0.552845528455,0.069105691056,0.125,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.2289,0.7711
5,56122,190034068,2021,Full Season,4422.979999999996,2022-01-26,0.7857142857142857,265,TRUE,5475,1889,0,23,1,5,0,1,32,0,106,396,0,0.267676767676,0.080808080808,0.301886792452,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.0563,0.9437
5,57501,190563746,2021,Full Season,3483.0,2022-01-26,0.7142857142857143,269,TRUE,3650,1889,0,22,1,2,4,0,16,0,94,410,0,0.229268292682,0.039024390243,0.170212765957,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.0569,0.9431
5,57988,204032,2021,Full Season,8324.799999999974,2022-01-10,0.5535714285714286,270,TRUE,7665,1894,0,19,1,3,2,2,48,0,122,384,0,0.317708333333,0.125,0.39344262295,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.0526,0.9474
5,60022,201248477,2021,Mini Plan,504.0,2021-12-04,0.5,32,TRUE,2555,1634,0,2,0,1,0,0,40,0,72,274,0,0.262773722627,0.145985401459,0.555555555555,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,0,0.9462,0.0538
5,61762,246454,2021,Quarter Season,3212.0,2022-01-09,1.0,32,TRUE,2920,1889,0,5,0,0,0,0,36,0,98,144,0,0.680555555555,0.25,0.367346938775,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.7846,0.2154
5,64547,206288499,2021,Full Season,1634.0,2022-01-10,0.4107142857142857,269,TRUE,1460,1335,0,12,1,5,1,3,4,4,86,404,0,0.212871287128,0.009900990099,0.046511627906,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.1112,0.8888
5,64913,205230849,2021,Quarter Season,1500.0,2022-01-07,0.8571428571428571,83,TRUE,1825,1572,0,6,0,1,0,0,4,0,0,234,0,0.0,0.017094017094,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.8531,0.1469
5,65133,209427948,2021,Half Season,4368.0,2022-01-10,0.7857142857142857,195,TRUE,1095,895,0,12,0,2,1,0,0,0,0,12,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.7866,0.2134
5,67525,200188836,2021,Mini Plan,826.0,2022-01-10,1.0,116,TRUE,2920,1482,0,2,0,0,0,0,20,0,32,76,0,0.421052631578,0.263157894736,0.625,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.4623,0.5377
5,68555,206352016,2021,Half Season,441.0,2022-01-25,0.8571428571428571,264,TRUE,1460,1314,0,12,0,2,0,0,170,0,96,168,0,0.571428571428,1.011904761904,1.770833333333,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,1,0.3362,0.6638
