dimCustomerMasterId,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,source_tenure,tenure,distToVenue,recency,missed_games_1,missed_games_2,missed_games_over_2,isNextYear_Buyer,Label,Score_0,Score_1
8309,2022,Flex Plan,222.0,1970-01-01,0.0,14,365,32,10.46,0,0,1,0,0,0,0.9924,0.0076
8482,2022,Full Season,653.3,2022-04-24,0.2,162,1095,947,50.84,0,0,0,1,0,0,0.9353,0.0647
8923,2022,Full Season,787.95,2022-06-25,0.5,101,1095,1076,11.98,1,3,1,0,0,0,0.8217,0.1783
8950,2022,Full Season,1050.6,2022-06-25,0.3,161,1095,1055,27.17,1,1,0,1,0,0,0.8929,0.1071
9004,2022,Full Season,1267.5,2022-05-22,1.0,3,0,3,0.0,0,0,0,0,0,0,0.9914,0.0086
9101,2022,Full Season,875.5,2022-04-09,0.2,159,1095,1054,47.74,6,0,1,1,0,0,0.6731,0.3269
9132,2022,Full Season,4377.5,2022-06-25,0.6,99,730,992,27.17,1,2,1,0,0,0,0.7655,0.2345
9281,2022,Full Season,4692.0,2022-06-25,0.45,87,365,388,48.26,1,2,1,0,0,1,0.3566,0.6434
9380,2022,Full Season,6662.88,2022-05-28,0.45,101,1095,1089,70.42,2,1,2,0,0,0,0.7462,0.2538
9420,2022,Full Season,1400.8,2022-05-22,0.45,162,1095,1047,19.18,3,0,1,1,0,0,0.9228,0.0772
9450,2022,Full Season,437.75,2022-06-25,0.4,159,730,986,8.55,1,1,1,1,0,0,0.5554,0.4446
9542,2022,Full Season,2626.5,2022-05-28,0.3,32,1095,1102,44.96,2,0,1,1,0,1,0.4325,0.5675
9591,2022,Full Season,4420.0,2022-06-25,0.7,101,1095,1068,21.65,1,2,0,0,0,0,0.6002,0.3998
9627,2022,Full Season,1575.9,2022-06-25,0.47,72,1095,1090,10.85,1,2,1,0,0,0,0.5766,0.4234
9815,2022,Full Season,1105.0,2022-06-25,0.8,123,1095,1083,23.26,1,2,0,0,0,0,0.8356,0.1644
10019,2022,Full Season,1050.6,2022-06-25,0.2,100,1095,1054,17.84,1,1,0,1,0,0,0.6661,0.3339
10135,2022,Full Season,700.4,1970-01-01,0.0,162,730,963,33.23,0,0,0,1,0,0,0.9451,0.0549
10202,2022,Full Season,850.72,2022-03-12,0.27,86,365,373,6.14,4,0,0,1,0,0,0.9449,0.0551
10368,2022,Full Season,700.4,2022-05-22,0.6,162,730,968,17.84,3,1,0,1,0,0,0.8807,0.1193
10675,2022,Full Season,2276.3,2022-05-14,0.45,162,730,983,19.63,4,1,0,1,0,0,0.6578,0.3422
10964,2022,Full Season,1575.9,2022-06-25,0.5,44,730,747,51.41,1,3,1,0,0,1,0.3749,0.6251
10998,2022,Full Season,5253.0,1970-01-01,0.0,159,730,864,41.92,0,0,0,1,0,0,0.8145,0.1855
11051,2022,Full Season,2276.3,2022-06-25,0.65,15,1095,1075,63.09,1,3,0,0,0,1,0.312,0.688
11071,2022,Full Season,2805.0,2022-05-28,0.4,101,1095,531,22.27,2,1,2,0,0,1,0.4065,0.5935
11130,2022,Full Season,935.0,2022-06-25,0.8,162,730,1000,50.09,1,2,0,0,0,0,0.659,0.341
11139,2022,Full Season,875.5,2022-06-25,0.55,159,1095,1084,149.03,1,2,1,0,0,0,0.8757,0.1243
11215,2022,Full Season,2101.2,2022-06-25,0.5,161,1095,1053,46.25,1,2,1,0,0,0,0.5755,0.4245
11350,2022,Full Season,3414.45,2022-06-25,0.23,162,1095,1094,23.35,1,1,1,1,0,0,0.5558,0.4442
11429,2022,Full Season,1632.0,2022-05-28,0.4,60,365,285,47.74,2,0,1,1,0,0,0.7466,0.2534
11445,2022,Full Season,476.0,2022-06-25,0.8,34,365,259,19.63,1,2,0,0,0,0,0.9677,0.0323
11506,2022,Full Season,875.5,1970-01-01,0.0,38,1095,1027,46.25,0,0,0,1,0,0,0.8507,0.1493
11631,2022,Full Season,459.46,2022-06-25,0.7,162,1095,1058,1.84,1,1,1,0,0,0,0.8398,0.1602
11912,2022,Full Season,3151.8,2022-05-22,0.45,162,1095,1112,25.94,3,2,0,1,0,0,0.8771,0.1229
11921,2022,Full Season,1575.9,2022-03-12,0.05,162,730,976,46.25,8,1,0,1,0,0,0.6557,0.3443
12004,2022,Full Season,2244.0,2022-06-25,0.7,67,365,292,324.38,1,1,1,0,0,0,0.9476,0.0524
12020,2022,Full Season,8755.0,2022-05-28,0.63,159,1095,1114,53.53,2,1,1,0,0,1,0.2288,0.7712
12090,2022,Full Season,476.0,2022-06-25,0.6,39,730,479,2.83,1,4,0,0,0,0,0.9343,0.0657
12107,2022,Full Season,1575.9,2022-05-28,0.3,161,1095,1075,65.22,2,1,1,1,0,0,0.6774,0.3226
12152,2022,Full Season,875.5,2022-05-28,0.1,24,1095,864,59.73,2,0,1,1,0,0,0.791,0.209
12480,2022,Full Season,6566.25,2022-05-28,0.17,159,730,977,48.37,2,0,1,1,0,1,0.1888,0.8112
12524,2022,Full Season,841.1,2022-06-25,0.5,4,730,144,37.83,1,1,0,0,0,0,0.9025,0.0975
12547,2022,Full Season,646.21,2022-06-25,0.2,162,1095,668,74.68,1,1,0,1,0,0,0.7208,0.2792
12551,2022,Full Season,247.42,1970-01-01,0.0,162,1095,858,59.13,0,0,0,1,0,0,0.8932,0.1068
12696,2022,Full Season,1138.15,2022-05-22,0.6,100,1095,1054,25.94,3,1,0,1,0,0,0.9051,0.0949
13075,2022,Full Season,2188.75,1970-01-01,0.0,1,730,975,50.84,0,0,0,1,0,0,0.9256,0.0744
13116,2022,Full Season,2276.3,2022-06-25,0.6,162,1095,1089,58.29,1,4,0,0,0,0,0.6184,0.3816
13125,2022,Full Season,251.24,2022-03-12,0.4,159,730,818,29.38,3,0,0,1,0,1,0.494,0.506
13304,2022,Full Season,437.75,2022-04-24,0.2,159,730,964,13.37,5,1,1,1,0,0,0.9384,0.0616
13427,2022,Full Season,3151.8,2022-04-24,0.27,159,1095,1116,178.22,5,0,1,1,0,0,0.9269,0.0731
13443,2022,Full Season,5950.0,2022-06-25,0.8,162,730,958,26.75,1,2,0,0,0,0,0.6196,0.3804
13492,2022,Full Season,1530.0,2022-05-28,0.45,162,1095,1053,11.36,2,3,1,0,0,0,0.6872,0.3128
13495,2022,Full Season,10200.0,2022-06-25,0.63,100,0,325,15.07,1,3,0,0,0,0,0.7171,0.2829
13500,2022,Full Season,22100.0,2022-05-14,0.35,158,1095,1101,47.74,4,0,1,1,0,1,0.26,0.74
13541,2022,Full Season,309.88,2022-06-25,0.75,5,0,151,25.94,1,1,0,0,0,0,0.9539,0.0461
13603,2022,Full Season,1428.0,2022-06-25,0.65,53,1095,1094,41.92,1,1,1,0,0,0,0.7076,0.2924
13608,2022,Full Season,4552.6,2022-06-25,0.7,79,1095,1073,26.81,1,2,0,0,0,0,0.7602,0.2398
13761,2022,Full Season,1313.25,2022-06-25,0.67,95,1095,1090,17.0,1,3,0,0,0,0,0.7299,0.2701
13791,2022,Full Season,4552.6,2022-06-25,0.63,162,365,521,33.3,1,1,1,0,0,0,0.9649,0.0351
13849,2022,Full Season,1050.6,2022-06-25,0.8,161,1095,1053,48.37,1,2,0,0,0,1,0.4642,0.5358
14109,2022,Full Season,10506.0,2022-06-25,0.7,159,1095,1109,38.15,1,1,1,0,0,1,0.4144,0.5856
14136,2022,Full Season,3400.0,2022-03-12,0.02,75,730,747,10.7,8,1,0,1,0,0,0.5017,0.4983
14302,2022,Full Season,2188.75,2022-05-28,0.1,1,730,975,59.73,2,0,1,1,0,0,0.7553,0.2447
14387,2022,Full Season,2276.3,2022-05-28,0.45,162,730,978,11.36,2,0,1,1,0,0,0.6218,0.3782
14489,2022,Full Season,10608.0,2022-06-25,0.5,82,365,515,17.0,1,1,1,0,0,1,0.3498,0.6502
14692,2022,Full Season,2210.0,2022-06-25,0.65,103,1095,1076,19.18,1,3,0,0,0,0,0.6607,0.3393
14763,2022,Full Season,2276.3,2022-02-26,0.1,162,1095,1116,47.74,9,0,0,1,0,0,0.5539,0.4461
15154,2022,Full Season,437.75,2022-05-22,0.4,159,1095,1054,52.45,3,3,0,1,0,0,0.8265,0.1735
15380,2022,Full Season,1926.1,2022-05-14,0.35,68,730,293,27.17,4,2,0,1,0,0,0.6512,0.3488
15440,2022,Full Season,1575.9,2022-05-22,0.5,110,1095,1062,10.85,3,2,0,1,0,0,0.7834,0.2166
15529,2022,Full Season,875.5,2022-06-25,0.8,117,1095,1080,45.06,1,2,0,0,0,0,0.8395,0.1605
15535,2022,Full Season,2346.0,2022-06-25,0.75,54,730,978,10.5,1,2,0,0,0,0,0.628,0.372
15593,2022,Full Season,3064.25,2022-05-22,0.4,162,1095,1114,48.37,3,0,0,2,0,0,0.8163,0.1837
15703,2022,Full Season,7004.0,2022-05-28,0.7,162,730,727,8.55,2,1,1,0,0,1,0.1791,0.8209
15715,2022,Full Season,5253.0,2022-05-22,0.4,159,730,957,9.54,3,1,1,1,0,1,0.4533,0.5467
15816,2022,Full Season,2346.0,2022-05-28,0.3,33,365,431,42.31,2,0,2,1,0,0,0.7801,0.2199
15980,2022,Full Season,1050.6,2022-06-25,0.55,161,1095,1084,17.84,1,2,1,0,0,0,0.7128,0.2872
16015,2022,Full Season,226.15,1970-01-01,0.0,162,1095,919,26.68,0,0,0,1,0,0,0.9141,0.0859
