dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
108385,27.58,2022,30,23,17,10,1,57.65,Individual,Full Season,Individual,0.87
108385,27.58,2023,31,24,1,1,2,0.0,None,Individual,None,1.0
108387,196.93,2022,1,0,1,0,0,41.0,None,Individual,None,0.9651
108387,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
108399,42.7,2022,1,0,1,0,0,50.0,None,Individual,None,0.9933
108399,42.7,2023,1,0,0,0,1,0.0,None,None,None,1.0
108411,10.5,2022,1,0,1,0,0,35.0,None,Individual,None,0.7954
108411,10.5,2023,1,0,0,0,1,0.0,None,None,None,1.0
108429,37.51,2022,1,1,0,0,1,0.0,None,None,None,0.9646
108429,37.51,2023,1,1,0,0,2,0.0,None,None,None,1.0
108435,196.93,2022,1,1,1,1,0,0.0,None,None,None,0.9922
108435,196.93,2023,1,1,0,0,1,0.0,None,None,None,1.0
108439,196.93,2023,1,0,1,0,0,37.0,None,Individual,None,1.0
108453,29.35,2022,1,0,1,0,0,32.0,None,Individual,None,0.99
108453,29.35,2023,1,0,0,0,1,0.0,None,None,None,1.0
108472,51.41,2023,1,0,1,0,0,26.0,None,Individual,None,0.9875
108476,4340.5,2022,1,0,1,0,0,55.0,None,Individual,None,1.0
108476,4340.5,2023,1,0,0,0,1,0.0,None,None,None,1.0
108477,196.93,2023,1,0,1,0,0,72.0,None,Individual,None,1.0
108481,51.7,2022,1,1,1,1,0,28.0,None,Individual,None,1.0
108481,51.7,2023,1,1,0,0,1,0.0,None,None,None,1.0
108488,27.58,2022,7,7,0,0,1,0.0,None,None,None,0.9052
108488,27.58,2023,7,7,0,0,2,0.0,None,None,None,1.0
108503,58.46,2022,3,0,3,0,0,69.75,Individual,Individual,Individual,0.64
108503,58.46,2023,4,0,1,0,1,83.0,None,Individual,None,1.0
108505,29.38,2022,30,26,17,13,1,18.42,Full Season,Full Season,Full Season,0.67
108505,29.38,2023,48,44,18,18,2,24.32,None,Full Season,None,1.0
108508,25.16,2023,1,0,1,0,0,44.0,None,Individual,None,1.0
108519,27.17,2022,1,0,1,0,0,38.0,None,Individual,None,0.989
108519,27.17,2023,1,0,0,0,1,0.0,None,None,None,1.0
108525,20.98,2023,1,1,1,1,0,26.0,None,Individual,None,1.0
108530,17.0,2023,1,1,1,1,0,33.0,None,Individual,None,1.0
108531,273.87,2022,1,1,1,1,0,17.5,None,Individual,None,1.0
108531,273.87,2023,1,1,0,0,1,0.0,None,None,None,1.0
108533,19.63,2023,1,0,1,0,0,55.0,None,Individual,None,1.0
108534,37.83,2022,1,0,1,0,0,28.0,None,Individual,None,1.0
108534,37.83,2023,1,0,0,0,1,0.0,None,None,None,1.0
108539,62.69,2023,1,1,1,1,0,80.0,None,Individual,None,1.0
108541,196.93,2022,1,0,1,0,0,33.0,None,Individual,None,0.9851
108541,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
108547,62.69,2022,1,1,1,1,0,75.0,None,Individual,None,0.97
108547,62.69,2023,1,1,0,0,1,0.0,None,None,None,0.9991
108571,1.84,2022,1,0,1,0,0,58.0,Individual,Individual,None,0.9873
108571,1.84,2023,2,0,1,0,1,53.0,None,Individual,None,1.0
108572,140.23,2023,1,1,1,1,0,33.0,None,Individual,None,0.9898
108576,67.51,2022,1,1,0,0,1,0.0,None,None,None,1.0
108576,67.51,2023,1,1,0,0,2,0.0,None,None,None,1.0
108586,41.92,2023,1,1,1,1,0,20.0,None,Individual,None,1.0
108596,49.08,2022,1,0,1,0,0,30.0,None,Individual,None,1.0
108596,49.08,2023,1,0,0,0,1,0.0,None,None,None,1.0
108605,11.04,2022,1,0,1,0,0,30.0,None,Individual,None,0.8443
108605,11.04,2023,1,0,0,0,1,0.0,None,None,None,1.0
108609,5.68,2022,30,25,17,12,1,60.28,Full Season,Full Season,Full Season,0.78
108609,5.68,2023,34,29,4,4,2,37.8,None,Full Season,None,0.99
108617,1857.4,2022,1,0,1,0,0,30.0,None,Individual,None,1.0
108617,1857.4,2023,1,0,0,0,1,0.0,None,None,None,1.0
108624,8.55,2022,30,27,17,14,1,20.59,Individual,Full Season,Individual,0.99
108624,8.55,2023,31,28,1,1,2,0.0,None,Individual,None,1.0
108631,3589.19,2022,1,0,1,0,0,100.0,None,Individual,None,1.0
108631,3589.19,2023,1,0,0,0,1,0.0,None,None,None,1.0
108635,12.75,2022,1,0,1,0,0,150.0,None,Individual,None,1.0
108635,12.75,2023,1,0,0,0,1,0.0,None,None,None,1.0
108649,22.27,2022,14,13,1,0,1,367.65,None,None,None,0.79
108649,22.27,2023,14,13,0,0,2,0.0,None,None,None,1.0
108650,22.4,2023,2,1,2,1,0,42.0,None,Individual,None,0.86
108652,33.3,2023,1,0,1,0,0,157.0,None,Individual,None,1.0
108653,62.25,2022,1,0,1,0,0,40.0,None,Individual,None,1.0
108653,62.25,2023,1,0,0,0,1,0.0,None,None,None,1.0
108660,46.25,2023,1,0,1,0,0,42.0,None,None,None,1.0
108671,196.93,2022,1,1,1,1,0,0.0,None,None,None,0.9922
108671,196.93,2023,1,1,0,0,1,0.0,None,None,None,1.0
108677,3.97,2022,1,0,1,0,0,70.0,None,Individual,None,0.9967
108677,3.97,2023,1,0,0,0,1,0.0,None,None,None,1.0
108685,1850.83,2023,1,1,1,1,0,89.0,None,Individual,None,1.0
108686,3.97,2023,1,0,1,0,0,52.0,None,Individual,None,1.0
108695,196.93,2022,1,0,1,0,0,33.0,None,Individual,None,0.9851
108695,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
108697,47.39,2022,7,7,0,0,1,0.0,None,None,None,0.76
108697,47.39,2023,7,7,0,0,2,0.0,None,None,None,0.96
108701,25.94,2022,1,0,1,0,0,40.0,None,Individual,None,1.0
108701,25.94,2023,1,0,0,0,1,0.0,None,None,None,1.0
108710,1558.99,2022,1,0,1,0,0,60.0,None,Individual,None,1.0
108710,1558.99,2023,1,0,0,0,1,0.0,None,None,None,1.0
108716,196.93,2022,1,0,1,0,0,38.0,None,Individual,None,1.0
108716,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
108718,13.28,2022,1,0,1,0,0,20.0,None,Individual,None,0.98
108718,13.28,2023,1,0,0,0,1,0.0,None,None,None,1.0
108742,196.93,2022,1,0,1,0,0,38.0,None,Individual,None,1.0
108742,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
108747,196.93,2022,1,0,1,0,0,83.0,None,Individual,None,1.0
108747,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
108748,12.75,2023,1,1,1,1,0,75.0,None,Individual,None,1.0
108764,32.55,2022,24,24,17,17,1,37.06,Full Season,Full Season,Individual,0.88
108764,32.55,2023,42,42,18,18,2,53.5,None,Full Season,None,1.0
108766,61.71,2022,30,24,17,11,1,33.16,Full Season,Full Season,Full Season,0.75
108766,61.71,2023,48,38,18,14,2,43.78,None,Full Season,None,1.0
108770,47.74,2023,1,1,1,1,0,52.0,None,Individual,None,1.0
108772,13.28,2022,1,0,1,0,0,75.0,None,Individual,None,0.98
108772,13.28,2023,1,0,0,0,1,0.0,None,None,None,1.0
108773,67.51,2022,30,28,17,15,1,20.59,Individual,Full Season,Individual,0.94
108773,67.51,2023,31,29,1,1,2,0.0,None,Individual,None,1.0
108775,196.93,2022,1,0,1,0,0,41.0,None,Individual,None,0.9651
108775,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
108781,3.97,2022,17,15,17,15,0,72.47,Individual,Full Season,Individual,0.73
108781,3.97,2023,18,16,1,1,1,0.0,None,Individual,None,0.9683
108783,48.12,2023,1,0,1,0,0,51.0,None,Individual,None,0.98
108785,19.18,2022,1,1,1,1,0,0.0,None,None,None,0.9954
108785,19.18,2023,1,1,0,0,1,0.0,None,None,None,1.0
108791,50.46,2022,13,13,0,0,1,0.0,None,None,None,1.0
108791,50.46,2023,13,13,0,0,2,0.0,None,None,None,1.0
