,dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
409,1694,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
412,1717,26.22,2023,31,17,1,0,2,0.0,None,Individual,None,0.5267
413,1728,3.97,2023,1,0,1,0,0,58.0,None,Individual,None,0.88
415,1748,48.37,2023,1,1,0,0,1,0.0,None,None,None,1.0
416,1762,38.86,2023,1,0,1,0,0,129.0,None,Individual,None,1.0
419,1771,10.46,2023,24,13,1,0,2,0.0,None,Individual,None,0.6667
420,1772,949.26,2023,1,0,1,0,0,72.0,None,Individual,None,1.0
421,1778,196.93,2023,1,1,1,1,0,42.0,None,Individual,None,1.0
424,1781,10.46,2023,48,39,18,15,2,24.32,None,Full Season,Full Season,0.56
426,1797,76.98,2023,2,1,0,0,1,0.0,None,None,None,1.0
428,1800,1.84,2023,1,1,0,0,1,0.0,None,None,None,0.8886
430,1810,33.23,2023,1,0,0,0,1,0.0,None,None,None,0.99
431,1821,1932.64,2023,1,0,1,0,0,48.0,None,Individual,None,0.9989
432,1833,12.75,2023,1,0,1,0,0,44.0,None,Individual,None,0.9733
434,1835,46.25,2023,1,0,0,0,1,0.0,None,None,None,0.9633
437,1849,196.93,2023,1,1,0,0,2,0.0,None,None,None,1.0
439,1854,28.66,2023,1,1,0,0,1,0.0,None,None,None,1.0
442,1856,63.09,2023,31,23,1,1,2,0.0,None,Individual,None,0.5867
443,1865,10.46,2023,1,0,1,0,0,37.0,None,Individual,None,0.9975
445,1869,62.69,2023,9,5,8,5,1,45.0,None,Half Season,None,0.4515
447,1875,47.99,2023,1,0,0,0,1,0.0,None,None,None,0.99
450,1886,38.2,2023,31,23,1,0,2,0.0,None,Individual,None,0.5967
451,1892,56.08,2023,2,0,2,0,0,81.8,None,Individual,None,0.96
453,1898,11.36,2023,1,0,0,0,1,0.0,None,None,None,0.8783
455,1912,52.24,2023,1,0,0,0,1,0.0,None,None,None,1.0
457,1914,26.75,2023,1,0,0,0,1,0.0,None,None,None,1.0
458,1917,20.13,2023,2,0,2,0,0,63.33,None,Individual,None,0.84
460,1918,46.51,2023,3,0,0,0,1,0.0,None,None,None,0.9733
463,1920,76.98,2023,25,16,1,0,2,0.0,None,Individual,None,0.6067
465,1928,42.19,2023,1,0,0,0,1,0.0,None,None,None,1.0
468,1929,47.74,2023,31,28,1,1,2,0.0,None,Individual,None,0.5952
470,1934,50.84,2023,1,0,0,0,1,0.0,None,None,None,1.0
472,1938,33.23,2023,1,1,0,0,1,0.0,None,None,None,1.0
475,1939,55.5,2023,13,13,0,0,2,0.0,None,None,None,1.0
476,1940,61.71,2023,1,1,1,1,0,25.0,None,Individual,None,1.0
478,1950,21.19,2023,1,0,0,0,1,0.0,None,None,None,0.94
479,1955,196.93,2023,1,1,1,1,0,48.0,None,Individual,None,1.0
480,1959,22.4,2023,1,0,1,0,0,69.0,None,Individual,None,0.9975
483,1969,51.7,2023,13,13,0,0,2,0.0,None,None,None,1.0
485,1973,13.37,2023,2,0,0,0,1,0.0,None,None,None,0.8383
487,1974,10.5,2023,1,1,0,0,1,0.0,None,None,None,1.0
489,1977,59.73,2023,1,1,0,0,1,0.0,None,None,None,1.0
490,1989,1949.77,2023,1,0,1,0,0,46.0,None,Individual,None,0.9998
492,1998,3069.0,2023,1,0,0,0,1,0.0,None,None,None,1.0
493,2002,13.37,2023,1,0,1,0,0,80.0,None,Individual,None,0.52
495,2005,27.17,2023,1,1,0,0,1,0.0,None,None,None,1.0
498,2006,20.13,2023,2,1,1,0,2,37.0,None,Individual,None,0.71
500,2007,19.63,2023,2,0,0,0,1,0.0,None,None,None,0.79
502,2017,70.42,2023,2,0,0,0,1,0.0,None,None,None,1.0
504,2032,22.27,2023,1,0,0,0,1,0.0,None,None,None,1.0
506,2043,21.19,2023,1,1,0,0,1,0.0,None,None,None,0.92
508,2049,9.54,2023,1,0,0,0,1,0.0,None,None,None,1.0
510,2055,67.51,2023,1,0,0,0,1,0.0,None,None,None,0.996
512,2056,53.53,2023,18,16,1,1,1,0.0,None,Individual,None,0.5742
515,2079,29.7,2023,13,13,0,0,2,0.0,None,None,None,1.0
517,2094,47.99,2023,2,0,1,0,1,37.0,None,Individual,None,0.88
519,2097,21.65,2023,8,6,7,6,1,71.27,None,Half Season,None,0.39
522,2099,109.14,2023,31,18,1,1,2,0.0,None,Individual,None,0.5867
523,2104,2.83,2023,1,0,1,0,0,69.0,None,Individual,None,0.9733
524,2129,32.18,2023,1,0,1,0,0,32.0,None,Individual,None,1.0
527,2131,35.1,2023,13,13,0,0,2,0.0,None,None,None,0.98
528,2140,10.85,2023,1,0,1,0,0,32.0,None,Individual,None,0.9922
531,2155,46.25,2023,31,22,1,1,2,0.0,None,Individual,None,0.5967
533,2162,82.62,2023,2,1,1,1,1,38.0,None,None,None,0.97
535,2173,50.84,2023,1,0,0,0,1,0.0,None,None,None,1.0
537,2190,61.71,2023,1,0,0,0,1,0.0,None,None,None,0.9495
539,2193,26.81,2023,1,1,0,0,1,0.0,None,None,None,1.0
541,2214,60.17,2023,1,0,0,0,1,0.0,None,None,None,1.0
542,2220,19.18,2023,1,1,1,1,0,44.0,None,Individual,None,0.984
543,2224,46.25,2023,1,0,1,0,0,23.0,None,Individual,None,1.0
545,2233,12.75,2023,1,0,0,0,1,0.0,None,None,None,0.8183
547,2237,169.44,2023,1,0,0,0,1,0.0,None,None,None,0.9974
549,2243,1928.88,2023,1,1,0,0,1,0.0,None,None,None,1.0
551,2247,13.28,2023,1,0,0,0,1,0.0,None,None,None,0.7883
553,2250,41.92,2023,1,0,0,0,1,0.0,None,None,None,1.0
555,2252,29.38,2023,1,0,0,0,1,0.0,None,None,None,1.0
557,2253,10.5,2023,1,0,0,0,1,0.0,None,None,None,1.0
559,2260,25.94,2023,6,2,1,1,1,37.0,None,Individual,None,0.8
561,2261,25.94,2023,2,0,0,0,1,0.0,None,None,None,0.9967
562,2271,12.75,2023,3,1,3,1,0,47.86,None,Flex Plan,None,0.85
563,2273,9.54,2023,1,0,1,0,0,23.0,None,Individual,None,0.96
565,2284,8.0,2023,1,0,0,0,1,0.0,None,None,None,0.99
567,2305,41.92,2023,1,0,0,0,1,0.0,None,None,None,1.0
568,2318,196.93,2023,1,0,1,0,0,45.0,None,Individual,None,0.9199
569,2337,82.62,2023,1,0,1,0,0,32.0,None,Individual,None,0.96
571,2340,50.84,2023,2,0,1,0,1,23.0,None,Individual,None,0.9796
572,2341,19.18,2023,2,0,2,0,0,30.0,None,Individual,None,0.97
574,2351,47.39,2023,1,0,0,0,1,0.0,None,None,None,0.9114
576,2357,13.37,2023,14,6,0,0,1,0.0,None,None,None,0.8
577,2368,11.98,2023,1,0,1,0,0,42.0,None,Individual,None,0.9768
579,2372,15.07,2023,1,0,0,0,1,0.0,None,None,None,0.8
581,2376,18.62,2023,1,0,0,0,1,0.0,None,None,None,1.0
583,2381,37.83,2023,1,0,0,0,1,0.0,None,None,None,0.95
586,2408,33.3,2023,31,25,1,1,2,0.0,None,Individual,None,0.5867
588,2418,196.93,2023,2,0,0,0,1,0.0,None,None,None,0.9987
589,2420,196.93,2023,1,0,1,0,0,42.0,None,Individual,None,0.9993
591,2436,212.8,2023,3,3,0,0,1,0.0,None,None,None,1.0
592,2451,17.51,2023,1,0,1,0,0,24.0,None,Individual,None,0.9234
594,2457,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
595,2461,1603.34,2023,1,0,1,0,0,60.0,None,Individual,None,1.0
598,2464,10.5,2023,31,20,1,0,2,0.0,None,Individual,None,0.5267
599,2467,82.18,2023,1,0,1,0,0,53.0,None,Individual,None,0.8081
601,2469,12.29,2023,2,0,0,0,1,0.0,None,None,None,0.8983
603,2473,18.51,2023,2,0,0,0,1,0.0,None,None,None,1.0
605,2474,47.74,2023,2,0,0,0,1,0.0,None,None,None,0.9977
608,2475,196.93,2023,13,13,0,0,2,0.0,None,None,None,0.989
611,2491,45.06,2023,31,23,1,1,2,0.0,None,Individual,None,0.5952
614,2502,50.84,2023,31,19,1,0,2,0.0,None,Individual,None,0.5717
615,2505,35.1,2023,1,0,1,0,0,69.0,None,Individual,None,0.84
618,2512,59.13,2023,31,25,1,1,2,0.0,None,Individual,None,0.5967
620,2519,3175.28,2023,2,0,0,0,1,0.0,None,None,None,0.84
621,2528,70.93,2023,1,1,1,1,0,38.0,None,Individual,None,0.96
624,2565,82.62,2023,14,13,0,0,2,0.0,None,None,None,0.81
627,2570,11.45,2023,31,22,1,1,2,0.0,None,Individual,None,0.4967
629,2579,7.19,2023,2,0,0,0,1,0.0,None,None,None,0.99
632,2592,8.55,2023,13,13,0,0,2,0.0,None,None,None,1.0
634,2597,27.58,2023,1,1,0,0,1,0.0,None,None,None,1.0
637,2611,48.37,2023,48,30,18,12,2,306.94,None,Full Season,Individual,0.62
638,2614,196.93,2023,11,10,11,10,0,183.11,None,Full Season,Individual,0.54
640,2615,52.24,2023,1,0,0,0,1,0.0,None,None,None,1.0
642,2628,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
644,2636,196.93,2023,2,0,0,0,1,0.0,None,None,None,0.9987
646,2638,54.0,2023,1,0,0,0,1,0.0,None,None,None,1.0
649,2647,306.06,2023,31,24,1,1,2,0.0,None,Individual,None,0.6267
652,2655,65.22,2023,31,20,1,0,2,0.0,None,Individual,None,0.5947
655,2656,52.45,2023,30,18,1,0,2,0.0,None,None,None,0.4767
658,2669,9.54,2023,37,26,7,6,2,56.75,None,Full Season,Individual,0.53
660,2678,17.84,2023,1,0,0,0,1,0.0,None,None,None,1.0
661,2691,76.36,2023,1,0,1,0,0,55.0,None,Individual,None,1.0
662,2706,38.24,2023,1,0,1,0,0,65.0,None,Individual,None,1.0
663,2710,47.74,2023,1,1,1,1,0,37.0,None,Individual,None,1.0
665,2713,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
667,2715,9.54,2023,1,0,0,0,1,0.0,None,None,None,1.0
669,2733,38.79,2023,1,0,0,0,1,0.0,None,None,None,0.9817
671,2736,52.77,2023,1,0,0,0,1,0.0,None,None,None,1.0
672,2756,19.63,2023,4,2,4,2,0,45.43,None,Individual,None,0.63
675,2760,11.36,2023,13,13,0,0,2,0.0,None,None,None,1.0
677,2781,20.13,2023,1,0,0,0,1,0.0,None,None,None,0.52
680,2788,196.93,2023,41,39,18,17,2,42.5,None,Full Season,Individual,0.96
682,2799,18.62,2023,1,0,0,0,1,0.0,None,None,None,1.0
685,2803,933.13,2023,13,13,0,0,2,0.0,None,None,None,1.0
686,2831,10.7,2023,1,0,1,0,0,129.0,None,Individual,None,1.0
688,2832,11.08,2023,18,14,17,13,1,156.0,None,Full Season,Full Season,0.49
691,2844,45.06,2023,31,24,1,1,2,0.0,None,None,None,0.4627
693,2850,41.44,2023,6,0,0,0,1,0.0,None,None,None,0.96
694,2857,45.06,2023,1,0,1,0,0,172.0,None,Individual,None,0.92
697,2860,8.55,2023,31,26,1,0,2,0.0,None,Individual,None,0.5367
700,2872,27.17,2023,31,23,1,0,2,0.0,None,Individual,None,0.5367
702,2893,189.87,2023,1,0,0,0,1,0.0,None,None,None,0.9972
705,2903,38.86,2023,13,13,0,0,2,0.0,None,None,None,0.9964
707,2906,312.24,2023,1,0,0,0,1,0.0,None,None,None,0.9999
708,2910,82.18,2023,1,1,1,1,0,37.0,None,Individual,None,1.0
711,2920,47.79,2023,48,42,18,18,2,24.32,None,Full Season,Individual,0.61
713,2923,22.27,2023,1,0,0,0,1,0.0,None,None,None,1.0
715,2929,59.13,2023,1,0,0,0,1,0.0,None,None,None,1.0
717,2935,26.22,2023,1,0,0,0,1,0.0,None,None,None,0.9967
719,2945,11.45,2023,1,0,0,0,1,0.0,None,None,None,0.6438
722,2969,29.7,2023,13,13,0,0,2,0.0,None,None,None,1.0
723,2978,154.92,2023,1,0,1,0,0,40.0,None,Individual,None,0.99
726,2985,17.0,2023,31,27,1,0,2,0.0,None,None,Individual,0.6058
728,3008,1717.81,2023,1,0,0,0,1,0.0,None,None,None,1.0
730,3019,122.18,2023,1,0,0,0,1,0.0,None,None,None,1.0
732,3042,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
734,3047,66.1,2023,10,7,9,6,1,69.67,None,Half Season,None,0.49
736,3058,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
739,3064,60.17,2023,44,40,14,14,2,36.92,None,Full Season,Full Season,0.45
742,3071,56.08,2023,31,24,1,1,2,0.0,None,Individual,None,0.5867
745,3078,17.91,2023,31,22,1,1,2,0.0,None,Individual,None,0.4667
747,3079,55.5,2023,1,0,0,0,1,0.0,None,None,None,1.0
749,3081,51.41,2023,1,0,0,0,1,0.0,None,None,None,0.99
751,3086,59.73,2023,1,0,0,0,1,0.0,None,None,None,1.0
752,3095,47.74,2023,1,0,1,0,0,40.0,None,Individual,None,1.0
753,3116,26.81,2023,1,0,1,0,0,32.0,None,Individual,None,0.99
754,3141,25.94,2023,1,0,1,0,0,32.0,None,Individual,None,0.99
756,3148,17.0,2023,1,0,0,0,1,0.0,None,None,Individual,0.5628
757,3165,20.13,2023,1,0,1,0,0,42.0,None,Individual,None,1.0
759,3178,48.37,2023,1,0,0,0,1,0.0,None,None,None,1.0
761,3194,59.73,2023,1,0,0,0,1,0.0,None,None,None,1.0
762,3198,47.39,2023,1,0,1,0,0,69.0,None,Individual,None,1.0
765,3211,9.54,2023,7,7,0,0,2,0.0,None,None,None,1.0
767,3223,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
769,3234,51.41,2023,12,1,6,1,1,31.07,None,Individual,None,0.59
771,3239,6.46,2023,1,0,0,0,1,0.0,None,None,None,1.0
772,3240,37.83,2023,1,0,1,0,0,37.0,None,Individual,None,0.99
775,3263,24.84,2023,31,23,1,1,2,0.0,None,Individual,None,0.5067
776,3264,13.28,2023,1,0,1,0,0,23.0,None,Individual,None,0.93
779,3265,72.67,2023,13,13,0,0,2,0.0,None,None,None,1.0
782,3269,47.74,2023,13,13,0,0,2,0.0,None,None,None,0.8055
785,3270,19.18,2023,32,17,2,0,2,72.5,None,Individual,None,0.48
788,3271,23.35,2023,48,28,18,10,2,29.18,None,Full Season,Individual,0.77
790,3288,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
792,3299,17.91,2023,3,0,1,0,1,38.0,None,Individual,None,0.7
795,3311,33.3,2023,30,26,1,1,2,0.0,None,Individual,None,0.5867
797,3317,63.09,2023,18,7,1,0,1,0.0,None,Individual,None,0.7267
798,3320,46.07,2023,1,0,1,0,0,58.0,None,Individual,None,0.8437
800,3326,26.81,2023,1,0,0,0,1,0.0,None,None,None,1.0
802,3327,62.69,2023,1,0,0,0,1,0.0,None,None,None,0.9495
804,3332,29.59,2023,1,0,0,0,1,0.0,None,None,None,1.0
805,3340,61.71,2023,1,0,1,0,0,42.0,None,Individual,None,0.98
