dimCustomerMasterId,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,source_tenure,tenure,distToVenue,recency,missed_games_1,missed_games_2,missed_games_over_2,isNextYear_Buyer,Label,Score_0,Score_1
112187,2022,Full Season,458.59,2022-07-16,0.67,68,1095,1061,12.29,0,1,1,0,0,0,0.7574,0.2426
112198,2022,Full Season,5253.0,2022-07-16,0.45,159,1095,1097,53.53,0,1,2,0,0,0,0.7334,0.2666
112199,2022,Full Season,278.94,1970-01-01,0.0,1,0,135,3643.64,0,0,0,1,0,0,0.9955,0.0045
112241,2022,Full Season,22100.0,2022-07-16,0.61,157,1095,1101,41.92,0,2,0,0,0,0,0.5763,0.4237
112284,2022,Full Season,5253.0,2022-06-25,0.36,159,1095,989,60.17,2,2,1,1,0,0,0.5807,0.4193
112286,2022,Full Season,24800.0,2022-07-16,0.52,157,1095,944,6.14,0,3,0,0,0,0,0.6074,0.3926
112315,2022,Full Season,30.94,1970-01-01,0.0,18,1095,18,33.23,0,1,0,0,0,0,0.9973,0.0027
112331,2022,Full Season,2736.88,2022-07-16,1.0,3,0,109,8.0,0,0,0,0,0,0,0.9949,0.0051
112345,2022,Full Season,2135.16,2022-05-14,0.1,114,1095,1032,17.51,5,0,0,2,0,0,0.7528,0.2472
112350,2022,Full Season,1225.7,2022-07-13,0.82,162,730,962,47.39,1,2,0,0,0,0,0.7756,0.2244
112380,2022,Full Season,4552.6,2022-07-13,0.64,100,1095,1052,14.62,1,3,0,0,0,1,0.4314,0.5686
112441,2022,Full Season,2101.2,2022-07-13,0.57,100,1095,1053,11.04,1,4,0,0,0,1,0.4953,0.5047
112460,2022,Full Season,2567.56,2022-07-16,0.55,3,0,143,347.33,0,2,0,0,0,0,0.9183,0.0817
112461,2022,Full Season,4377.5,1970-01-01,0.0,115,1095,1108,19.18,0,0,0,1,0,0,0.6924,0.3076
112587,2022,Full Season,4377.5,2022-07-16,0.64,36,1095,747,54.0,0,1,0,1,0,1,0.394,0.606
112626,2022,Full Season,140000.0,2022-07-16,0.59,8,0,233,0.0,0,1,0,0,0,0,0.7087,0.2913
112779,2022,Full Season,1575.9,2022-07-13,0.73,162,1095,1087,105.02,1,1,1,0,0,0,0.8507,0.1493
112813,2022,Full Season,3414.45,2022-07-16,0.42,162,1095,1094,38.86,0,1,2,0,0,0,0.83,0.17
113055,2022,Full Season,787.95,2022-07-13,0.64,162,730,978,29.7,1,4,0,0,0,0,0.7098,0.2902
113095,2022,Full Season,10608.0,2022-02-26,0.07,4,0,229,0.0,10,0,0,1,0,0,0.9117,0.0883
113129,2022,Full Season,9192.75,2022-07-16,0.36,162,1095,1059,69.88,0,2,0,1,0,0,0.82,0.18
113247,2022,Full Season,525.3,2022-05-14,0.45,79,1095,950,69.88,5,1,0,1,0,0,0.892,0.108
113309,2022,Full Season,2101.2,2022-07-16,0.86,161,365,478,35.95,0,1,0,0,0,0,0.9212,0.0788
113527,2022,Full Season,278.94,2022-05-28,0.25,2,0,136,1654.18,3,0,0,1,0,0,0.9955,0.0045
113600,2022,Full Season,1050.6,2022-07-13,0.27,161,1095,1053,10.46,1,5,0,0,0,0,0.7572,0.2428
113755,2022,Full Season,874.45,2022-04-09,0.11,162,730,746,481.27,5,0,0,2,0,0,0.7206,0.2794
113802,2022,Full Season,437.75,2022-04-09,0.18,159,730,657,52.45,7,0,1,1,0,0,0.8285,0.1715
113821,2022,Full Season,353.71,1970-01-01,0.0,159,1095,990,27.58,0,0,0,1,0,0,0.9387,0.0613
113824,2022,Full Season,3939.75,2022-07-16,0.73,162,1095,1052,1.84,0,1,0,0,0,0,0.9288,0.0712
113926,2022,Full Season,2276.3,2022-07-13,0.59,162,1095,1027,0.0,1,1,0,1,0,0,0.8101,0.1899
