dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
193,37.83,2023,13,13,0,0,2,0.0,None,None,None,1.0
197,197.81,2023,1,0,1,0,0,53.0,None,Individual,None,0.9764
200,12.75,2022,30,21,17,8,1,27.16,Individual,Full Season,Individual,0.67
200,12.75,2023,31,21,1,0,2,0.0,None,Individual,None,1.0
215,19.63,2023,2,0,2,0,0,25.5,None,Individual,None,1.0
223,1237.55,2022,1,0,1,0,0,28.0,None,Individual,None,1.0
223,1237.55,2023,1,0,0,0,1,0.0,None,None,None,1.0
227,260.63,2023,1,0,1,0,0,72.0,None,Individual,None,1.0
231,69.88,2022,30,27,17,14,1,37.06,Individual,Full Season,Individual,0.92
231,69.88,2023,31,28,1,1,2,0.0,None,Individual,None,1.0
244,48.37,2022,16,16,3,3,1,0.0,None,None,None,0.69
244,48.37,2023,16,16,0,0,2,0.0,None,None,None,1.0
247,56.49,2022,2,0,2,0,0,29.33,Individual,Individual,Individual,0.85
247,56.49,2023,3,0,1,0,1,37.0,None,Individual,None,1.0
263,2.83,2023,2,0,2,0,0,41.33,None,None,None,0.98
282,2.83,2022,30,19,17,6,1,24.95,Full Season,Full Season,Full Season,0.83
282,2.83,2023,48,26,18,7,2,43.78,None,Full Season,None,1.0
284,26.81,2022,1,0,1,0,0,120.0,None,Individual,None,1.0
284,26.81,2023,1,0,0,0,1,0.0,None,None,None,1.0
292,13.28,2022,2,0,2,0,0,28.0,None,Individual,Individual,0.5464
292,13.28,2023,2,0,0,0,1,0.0,None,None,None,1.0
294,49.08,2023,1,0,1,0,0,72.0,None,Individual,None,0.96
295,17.91,2022,13,13,0,0,1,0.0,Individual,None,None,1.0
295,17.91,2023,14,13,1,0,2,60.0,None,Individual,None,1.0
310,50.46,2022,1,1,1,1,0,28.0,None,Individual,None,1.0
310,50.46,2023,1,1,0,0,1,0.0,None,None,None,1.0
328,1946.82,2022,1,1,1,1,0,43.0,None,Individual,None,1.0
328,1946.82,2023,1,1,0,0,1,0.0,None,None,None,1.0
331,1575.55,2023,1,0,1,0,0,40.0,None,Individual,None,1.0
341,26.81,2022,1,0,1,0,0,35.0,None,Individual,None,1.0
341,26.81,2023,1,0,0,0,1,0.0,None,None,None,1.0
343,2.83,2023,1,0,1,0,0,55.0,None,Individual,None,1.0
344,8.55,2022,1,0,1,0,0,37.0,None,Individual,None,1.0
344,8.55,2023,1,0,0,0,1,0.0,None,None,None,1.0
